"Company_name","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14","Cluster15","Cluster16","Cluster17","Cluster18","Cluster19","Cluster20","Cluster21","Cluster22","Cluster23","Cluster24","Cluster25","Cluster26","Cluster27","Cluster28","Cluster29","Cluster30","Cluster31","Cluster32","Cluster33","Cluster34","Cluster35","Cluster36","Cluster37","Cluster38","Cluster39","Cluster40","Cluster41","Cluster42","Cluster43","Cluster44","Cluster45","Cluster46","Cluster47","Cluster48","Cluster49","Cluster50","Cluster51","Cluster52","Cluster53","Cluster54","Cluster55","Cluster56","Cluster57","Cluster58","Cluster59","Cluster60","Cluster61","Cluster62","Cluster63","Cluster64","Cluster65","Cluster66","Cluster67","Cluster68","Cluster69","Cluster70","Cluster71","Cluster72","Cluster73","Cluster74","Cluster75","Cluster76","Cluster77","Cluster78","Cluster79","Cluster80","Cluster81","Cluster82","Cluster83","Cluster84","Cluster85","Cluster86"
"mondelezfoods",0.0305178330141711,0.0188528104570156,0.00663172560162524,0.0118046840952824,0.0127125168328118,0.0259506379144232,0.0070235920915276,0.0104331187344316,0,0,0,0.011368672459929,0,0,0.00143899922538971,0,0,0,0,0,0,0,0.0211516856688712,0.0258813822632585,0,0.00962078454939482,0,0,0.0268419163101633,0,0.0170390644202816,0.00999821258893529,0.0232724144777429,0.0112039396462658,0.0223443279452329,0.0206596947196826,0.0210780828744029,0.0126468497246417,0.023942277285023,0.0282792156855234,0,0.0182899126715352,0.00816955119804009,0.028798143660643,0,0.014195975029439,0,0.0248445416778898,0.0101555402104234,0.00631040028646911,0.0269716985303684,0.00925654617663524,0.0233291627075157,0.0249399239919506,0,0.0254703578691096,0.0219657008898934,0,0.00663339627191289,0.0096163287024681,0.0092433508083066,0.016054487271275,0,0,0.0220525932853635,0.0284554118804439,0.0287585585647349,0.0102850513073725,0.0259676542929739,0.00835315511250969,0.023419505906213,0,0.00769662763951586,0.0147817799661067,0.03034517754359,0.0117830065356347,0.0202142203003507,0,0.0263447550494423,0,0,0,0.021817888572884,0.0247851575029621,0,0
"luminadatamatics",0.00426110973816945,0.00911703704857976,0,0.00534386090520974,0.00526372379420932,0.00958334323262882,0.00817238562976456,0.0133211629756517,0.0187064144465354,0.0144396056303988,0.0156640541410608,0.0151180790424322,0.00494118199060966,0.0135755135889193,0.0106597539026215,0.0128786732142275,0.0127295251659048,0.0128232177210925,0.0159514919536217,0.0112794081304485,0.0107559267491697,0.0130042857595883,0.0137340923943267,0.00996170353218355,0.00770830756299067,0.0136154500420351,0.0184227381594167,0.0169487446747782,0.0121029609497695,0.0108118510451441,0.0104750224477335,0.0136721207989506,0.0138669236749116,0.0107720538222768,0,0.0143308682743545,0.015144119412692,0.0109509334192373,0.0053639942096373,0.0109404444582957,0.0100530011455187,0.0104242581726959,0.00892754787005359,0.0127896466496429,0.00781460318449694,0.0129643350396995,0.019097991274393,0.0122146098007947,0.0151536022219187,0.0154750119883029,0.0106859726411158,0.0143030578050059,0.0096700780820696,0.0132913906848208,0.0174089059702563,0.0137140379398665,0.011513337798157,0.0188079709465901,0.018574891955361,0.0192488501756947,0.0181573769389874,0.00848465085475484,0.0114248950075753,0.0159204868222058,0.0148321464546517,0.00524219518131644,0.0108369047996569,0.0147423625302838,0.0138527499651904,0.00921803466989295,0.011891369289054,0.0139791871501772,0.0127181117256111,0.0146416119491167,0.0018390837290185,0.0106147348706581,0.010081575933398,0.00552575890403977,0.0115624156475207,0.0126987301748075,0.0129423789494211,0.0127896466496429,0.0108523750499308,0,0.016606031767056,0
"govtsector",0.0173400686270745,0.016283239113803,0.0145794663628037,0.00835252745990646,0,0.0239625018467146,0.00745219531040824,0.0186764556383172,0.00526420094221581,0,0.0156667633484831,0.0199470434696913,0.0183111324249667,0.0156667633484831,0.00286109933751328,0.0114057687081343,0.0200228920114074,0,0.0199428135942732,0,0,0,0.0270281614215433,0,0.00271387318563384,0.00897426611742293,0,0,0.0180298944474678,0.0108179076731281,0.0126313325536437,0.0120896882369047,0.0241205600975383,0.0187939046396801,0.0245942416506754,0.0196142306472288,0.0189334233672204,0.021743246236634,0.0202876647721084,0.0195398869365636,0.0184055322041686,0,0.0126583058015793,0.0191877880623603,0.0130940883854645,0.0162227864933658,0,0.0152067826136059,0,0.00535121842312821,0.0218831935602564,0,0.0172709831955782,0.0203098034387549,0,0.0235183846985898,0.0233692859553205,0,0,0,0,0.0193410991001677,0,0.00388218187513066,0.00802682763469231,0.00983081597913369,0,0.0184311404058913,0.0114663482197554,0.0109626526421421,0.0177641548089482,0.0196616319582674,0.0198090667954752,0.0117144390922006,0.0252475384018529,0.00854870053474658,0.0163460950877658,0,0.0240925321832418,0.0195398869365636,0.0133118192234845,0,0.0241205600975383,0.0157771426632403,0,0
"globallogictechnologies",0.0199242947370286,0.0121417132410913,0,0.0130903879185307,0.00420601284490038,0.0221228242081493,0.00766444967876034,0.0218892054376626,0.00935150011676535,0.00642577970710672,0,0.00768781499807805,0.0152230900671575,0.0136290393109861,0.00668827048446754,0.00752347045457099,0.00985968906571366,0.0138682176320689,0.0156140260730306,0,0,0,0.0183005046863818,0.0150014710112333,0,0.00929406313870869,0,0.0126648691631932,0.016017320283485,0.00945230593985443,0.0198323683958572,0.0152545549436955,0.0219200322203399,0.0126312232129049,0.0158509881773556,0.0140521264377774,0.0157468237788259,0.0123111313242922,0.0133417523531821,0.0182125698616369,0,0.016785348656658,0.00485668529643652,0.0166920959981245,0.0137097570855083,0.0108318292819415,0.00707726407494007,0.022620052746086,0.00932440603963895,0.0105704090251975,0.014373666498482,0.0123022657973593,0.0141660548171969,0.023404594857651,0,0.0222886287531982,0.0201357675451516,0.0148768275489259,0.0166051469455103,0.0105102930713352,0.0133261308147491,0.0183209520021365,0.00954894970355932,0,0.0146061437970508,0.0122173632766752,0.0171742773292267,0.00993577142745508,0.0142336405215598,0.0174208520697107,0.0192650292096062,0,0.0121016546242821,0.00967283213031328,0.012001310877666,0.005919085205032,0.00744130455848626,0.00579520424339875,0.0245518499401457,0.0145700558893096,0.0176374848356003,0.0127177874271425,0.017985667462843,0.00563166770991677,0,0
"gatikwe",0.00693233291428763,0,0,0.00613984972214507,0,0.017257198667362,0.0113920940500621,0.0167303517890447,0.0240619431149931,0.00860016460084553,0.0206295851261646,0.0231035415375466,0,0.0165036681009317,0.00560170218104129,0.0124771723602084,0.0144198146977203,0.0202798289024435,0,0,0,0.0171266657831041,0.00873292030308296,0.0272483584072842,0.00999310753471648,0.00945366353961843,0.0214083322288801,0.0129737788956324,0,0.00824905405311539,0.00548557196390207,0.0183982364591836,0.0238209930517228,0.0147288249005869,0.00858241675584639,0.0242074782950356,0,0,0,0,0.00875239172146566,0.0187210434517627,0.0142170021678927,0.0168439857214708,0,0.0178676246228727,0.0142339939429666,0.00627796676297365,0.0204549086459849,0.0193030958838877,0.00910469880002238,0,0,0.0204222473500866,0.0138939911232112,0.0246910369062979,0.0109045979566619,0.0202664689705902,0.0218933385050496,0.0219745670128011,0.0213160306983302,0,0.0120313184343662,0.0149020571222063,0.0126834205865989,0,0.0214083322288801,0.0234274454081155,0.0128743325551056,0.0208230381782529,0.0231168399341539,0,0,0.00675548965686341,0,0.0234565643379095,0,0,0.0253795341142838,0,0.0236423566172153,0.0168439857214708,0.0238209930517228,0,0.0231566518720187,0
"anitechnologiesolacabs",0.0149145722858639,0.0103791184233883,0.00544252875945905,0.00998289559758473,0.00399492454379616,0.0153496190351527,0.00914626550134089,0.0151145999996809,0.0138248729269928,0.0104608610748555,0.00907833626113379,0.0123965217504048,0.0100988164917932,0.0143740324134618,0.0102697823617065,0.0108003058041216,0.0115812219072887,0.0133738054871502,0.0150230033419946,0.00980572388022694,0.00966680836819302,0.0102061210008108,0.0148221546738678,0.0116579357503814,0.00705279485320407,0.0129921714319567,0.00863594853914757,0.0130841324236424,0.013671846226972,0.0114176620131005,0.0140729818615391,0.0131747025254713,0.0174712662805318,0.0128041390785122,0.0113105411257893,0.0123494227700511,0.0135030774348897,0.0113335300611837,0.0058289678751907,0.0130210758402508,0.00923323891137677,0.0130442218660117,0.0101520421467823,0.0154425635785999,0.0103817384428707,0.0132138691082885,0.0117532575130619,0.0162736968321148,0.0121277338335392,0.0119810975326703,0.0129886654678849,0.0120276262258794,0.01200951003259,0.0149784906416587,0.0104200843228301,0.0158687323902909,0.0154537013894799,0.0140384456454076,0.014244281526617,0.0133133066729777,0.0127766207698326,0.0135474103140155,0.00810939317453826,0.00762789763164898,0.0128124677929076,0.0113932215856882,0.011776293462474,0.0117977121732074,0.012663529484154,0.0136934052833172,0.0148616429105707,0.0113932215856882,0.0127296293299577,0.0128130712458235,0.0112419850647892,0.00601517090446368,0.00988757160614183,0,0.0167529262051055,0.0106150074784653,0.0120632339385265,0.0123540508628799,0.0139770130244254,0.00392412313420509,0.0127380089741584,0
"tatastarbucks",0.00514245906323189,0,0.0046038199863885,0.00152813734899372,0.00477514055871533,0,0.0056718931893063,0.0124107065042002,0.0223930238066547,0.0136904485335108,0.0214244638334892,0.018733306201161,0.0135154819095372,0.0122425507619939,0.014537618291626,0.0169272791631619,0.0202098439341103,0.0165221649975662,0.0233760064859067,0.0165293327032454,0.0162915627434037,0.0158808691764044,0.0182698609926551,0,0.0129990118243879,0.0198524023784576,0.0238213037646066,0.0186556635308698,0.00679514414084524,0.0135072168093319,0,0.0162134274287297,0.0150200099532602,0.0142175650679539,0.00330586654064907,0.0151006788864055,0.0128035660567182,0.0163161174821221,0.00673768217146317,0,0.0158142016771341,0.0124986755087788,0.0062024844941611,0.0137445011536279,0.0101337508656449,0.0150191955116228,0.0189289693030484,0.0146948431162556,0.0118731611041424,0.00844796761590021,0.0138706200482654,0.00697729385966019,0,0,0.0164042768039741,0.0126271702464916,0.0113154740499342,0.0217155264923777,0.0180918213913157,0.0177780666177062,0.0171376941711717,0.00981701948076858,0.0131320763911988,0.0203449394818701,0.0139105202229826,0.00832231793686682,0,0.0158906969087198,0.00881564410839752,0.0107422907893741,0.00245553602093612,0.0204857056907491,0.0187293013105048,0.0169512071648081,0.00247048346286983,0.0168356483554412,0.0106930684183757,0,0,0.0186092686372,0.00663480428295536,0.0124950010487526,0,0.00218936360061419,0.0171777864343385,0
"sjmmcsl",0,0.0636214183199158,0.0366974846300816,0.00758729686337505,0.0359897090581748,0,0,0.0571705702728256,0,0,0,0,0,0,0,0.0286296382439621,0,0,0.054544004058583,0,0,0,0.0587272626608616,0,0,0,0,0,0,0.0145582503533092,0,0.0269922817936311,0,0,0.0127526544543079,0,0,0.0341428358851877,0.0605516187053267,0,0,0.0648079339232589,0.0190864254959747,0,0,0,0,0.0174575731626004,0,0.0209081315725742,0,0,0,0,0,0,0.00153761203227471,0,0,0,0,0,0,0.0139043234825714,0.0370331050990051,0.0341428358851877,0,0,0.0366617342056494,0,0,0.0853570897129693,0,0.0220391057959375,0,0,0.087215916205228,0.0678831881272266,0,0,0,0,0,0,0,0
"salesexecutive",0.0049953380160268,0,0.0108320080721487,0.0108608733956923,0.00764751826999532,0.0150485945525359,0.0130133083554006,0.0140649221415659,0.0177460048315842,0.0149127392129881,0,0.0194227543459551,0,0.015608647148835,0.00364511464761839,0.00815838064881574,0.00593534599548829,0.015314613041412,0.0158950682345318,0,0.00539928621543648,0,0.021432633503238,0.0190893594825109,0.00610600653931869,0.0105967121563545,0,0.00612650596583705,0,0.0178263973663157,0.0203057900547696,0.0241893475609648,0.024031084354842,0.0219487886664133,0.0124430678606007,0.0222206791363663,0,0.0106407735196117,0.00699943181025401,0,0.0195443507561882,0.026755386688376,0.0214902774930946,0.0198246331576705,0.00561975526803015,0.0195187640946177,0.00354951577117146,0.0192923998848763,0,0.00631865832522855,0.0238071177927449,0,0.0160597883669902,0.0208476293499464,0.00778696132026486,0.01863326685855,0.0111550268918292,0.0151446006236649,0.0110717627316002,0.00744736240584024,0.00699943181025401,0,0.0074711807791816,0.00834484346367524,0.0189297926008442,0.0188631894211299,0,0.0173007357702177,0.0216226286675094,0.0179135426745384,0.0231194978105894,0.0232162331336983,0.0119406320075366,0.0163041773619001,0.0221480633459203,0.0176286472712737,0.0144573943740253,0,0.0234697568460214,0,0.013919996148537,0,0.020025903629035,0,0,0
"internationalpaperappm",0.0127801501497747,0,0,0.00804426984263564,0.00923936316671621,0.0125186321415155,0.0131582509970117,0.00639194373684963,0.0158542551492337,0.0123046139680613,0.0138295768196704,0.0171273430392017,0,0.0181513195758174,0.00953891152060276,0.0151183373109133,0.0105629393124591,0.0144448029664533,0.0132031422094472,0,0.0122038668071011,0.0143516301142101,0.0133758523317079,0.0139536855904036,0.0171301798133184,0.00726172821519594,0.0152486069963482,0.0151253855190544,0.00885693704907618,0.00989852089932597,0.00983680019674611,0.0124401822222938,0.0154699879305047,0.0140594347967377,0.00268157085928547,0.0184128021488894,0.0130169858725131,0.00554427176051482,0.00602545514131066,0.0129363845658194,0.0150248063892728,0.0109813694073348,0.0148345166839864,0.0183491785570246,0.0159263093505448,0.0147270585774041,0.0178395323164286,0.0138744607142475,0.0203609448783147,0.01514081218359,0.0149534337538312,0.00760028231843765,0,0.01589085476896,0.0135222049572623,0.0142640552883011,0.0134408710761567,0.0169826906223606,0.0190224601137324,0.0165509953433917,0.0181117076744144,0.00588516435011828,0.0114680397838974,0.0161012946650383,0.0133649675182575,0.00506216117264397,0.0134546532320719,0.0150764890756736,0.0127779813638252,0.0128172459648101,0.0174338843608647,0,0.0131243434284345,0.0119013312761269,0.0116366105676827,0.0114449953019962,0.00455671809546287,0,0.0148870996540935,0,0.0113734176771888,0.0141147527361728,0.0179651472741345,0.00188655608251533,0.0161704807072742,0
"zeemediacorporation",0.0144181730343609,0.011754922514523,0.00713478375235043,0.00886818289834093,0.0071705951865057,0.0139442604701899,0.0117030826599286,0.0111206255160782,0.0117910572131479,0.00458395205431671,0.0113098866833366,0.0156479282510592,0.00471496660996664,0.0160223394680602,0.00687496496378114,0.00601705226428837,0.00882873074877321,0.0120446491076525,0.0093579076911239,0,0.00798429930208877,0.00978068673812739,0.0154792302089571,0.0145235788261015,0.00905754444900082,0.00575871242530701,0.0107587554119401,0.0128445516962258,0.015185145032226,0.0108384953641239,0.0127298912076178,0.0141452015203064,0.0163244153028214,0.0145640469549732,0.0119798434503575,0.0159636040019725,0.0152451873713754,0.0130680385780624,0.0127912869721063,0.0155164977191703,0.0137173681489127,0.0111188511693226,0.0148201652591543,0.0184689676152487,0.00857104519186409,0.0144239530817788,0.00975448958145034,0.0142528151533389,0.0153267604094699,0.0114528303070862,0.015983387067822,0.0122173008551626,0.0137147759468637,0.0146617122084377,0.0115136329724761,0.015881031841443,0.0134535931905837,0.0128597375447948,0.0147984901676374,0.0135139529191047,0.0152256493835603,0.0121469154553249,0.00654613316035706,0.0119134020185334,0.00901381071210141,0.0126167067901037,0.0146710301071911,0.0120043226514723,0.0157763580635409,0.0121724392343426,0.0169808100410956,0.0102510742669593,0.0120254973085594,0.0107169850897862,0.0167520266409975,0.0100209801778242,0.0086122056728073,0,0.0150734793864761,0,0.00785860197104008,0.0107735644422284,0.0185010040098643,0.0114156389001652,0.0105794302630707,0
